PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Family Size,Floor
1,0,3,0,22.0,1,0,7.25,0,0,1,8
2,1,1,1,38.0,1,0,71.2833,1,1,0,2
3,1,3,1,26.0,0,0,7.925,0,2,0,8
4,1,1,1,35.0,1,0,53.1,0,1,1,2
5,0,3,0,35.0,0,0,8.05,0,0,1,8
6,0,3,0,28.0,0,0,8.4583,2,0,2,8
7,0,1,0,54.0,0,0,51.8625,0,0,0,4
8,0,3,0,2.0,3,1,21.075,0,3,3,8
9,1,3,1,27.0,0,2,11.1333,0,1,5,8
10,1,2,1,14.0,1,0,30.0708,1,1,1,8
11,1,3,1,4.0,1,1,16.7,0,2,1,6
12,1,1,1,58.0,0,0,26.55,0,2,0,2
13,0,3,0,20.0,0,0,8.05,0,0,0,8
14,0,3,0,39.0,1,5,31.275,0,0,8,8
15,0,3,1,14.0,0,0,7.8542,0,2,0,8
16,1,2,1,55.0,0,0,16.0,0,1,0,8
17,0,3,0,2.0,4,1,29.125,2,3,4,8
18,1,2,0,28.0,0,0,13.0,0,0,3,8
19,0,3,1,31.0,1,0,18.0,0,1,2,8
20,1,3,1,28.0,0,0,7.225,1,1,0,8
21,0,2,0,35.0,0,0,26.0,0,0,0,8
22,1,2,0,34.0,0,0,13.0,0,0,0,3
23,1,3,1,15.0,0,0,8.0292,2,2,0,8
24,1,1,0,28.0,0,0,35.5,0,0,0,0
25,0,3,1,8.0,3,1,21.075,0,2,3,8
26,1,3,1,38.0,1,5,31.3875,0,1,3,8
27,0,3,0,28.0,0,0,7.225,1,0,0,8
28,0,1,0,19.0,3,2,263.0,0,0,3,2
29,1,3,1,28.0,0,0,7.8792,2,2,0,8
30,0,3,0,28.0,0,0,7.8958,0,0,0,8
31,0,1,0,40.0,0,0,27.7208,1,4,0,8
32,1,1,1,28.0,1,0,146.5208,1,1,0,1
33,1,3,1,28.0,0,0,7.75,2,2,0,8
34,0,2,0,66.0,0,0,10.5,0,0,0,8
35,0,1,0,28.0,1,0,82.1708,1,0,2,8
36,0,1,0,42.0,1,0,52.0,0,0,1,8
37,1,3,0,28.0,0,0,7.2292,1,0,0,8
38,0,3,0,21.0,0,0,8.05,0,0,0,8
39,0,3,1,18.0,2,0,18.0,0,2,2,8
40,1,3,1,14.0,1,0,11.2417,1,2,1,8
41,0,3,1,40.0,1,0,9.475,0,1,0,8
42,0,2,1,27.0,1,0,21.0,0,1,1,8
43,0,3,0,28.0,0,0,7.8958,1,0,0,8
44,1,2,1,3.0,1,2,41.5792,1,2,2,8
45,1,3,1,19.0,0,0,7.8792,2,2,0,8
46,0,3,0,28.0,0,0,8.05,0,0,0,8
47,0,3,0,28.0,1,0,15.5,2,0,0,8
48,1,3,1,28.0,0,0,7.75,2,2,0,8
49,0,3,0,28.0,2,0,21.6792,1,0,0,8
50,0,3,1,18.0,1,0,17.8,0,1,1,8
51,0,3,0,7.0,4,1,39.6875,0,3,5,8
52,0,3,0,21.0,0,0,7.8,0,0,0,8
53,1,1,1,49.0,1,0,76.7292,1,1,3,3
54,1,2,1,29.0,1,0,26.0,0,1,0,8
55,0,1,0,65.0,0,1,61.9792,1,0,0,1
56,1,1,0,28.0,0,0,35.5,0,0,0,2
57,1,2,1,21.0,0,0,10.5,0,2,0,8
58,0,3,0,28.5,0,0,7.2292,1,0,0,8
59,1,2,1,5.0,1,2,27.75,0,2,2,8
60,0,3,0,11.0,5,2,46.9,0,3,5,8
61,0,3,0,22.0,0,0,7.2292,1,0,0,8
62,1,1,1,38.0,0,0,80.0,0,2,0,1
63,0,1,0,45.0,1,0,83.475,0,0,3,2
64,0,3,0,4.0,3,2,27.9,0,3,5,8
65,0,1,0,28.0,0,0,27.7208,1,0,0,8
66,1,3,0,28.0,1,1,15.2458,1,3,1,8
67,1,2,1,29.0,0,0,10.5,0,1,0,5
68,0,3,0,19.0,0,0,8.1583,0,0,0,8
69,1,3,1,17.0,4,2,7.925,0,2,8,8
70,0,3,0,26.0,2,0,8.6625,0,0,0,8
71,0,2,0,32.0,0,0,10.5,0,0,0,8
72,0,3,1,16.0,5,2,46.9,0,2,5,8
73,0,2,0,21.0,0,0,73.5,0,0,0,8
74,0,3,0,26.0,1,0,14.4542,1,0,0,8
75,1,3,0,32.0,0,0,56.4958,0,0,0,8
76,0,3,0,25.0,0,0,7.65,0,0,0,5
77,0,3,0,28.0,0,0,7.8958,0,0,0,8
78,0,3,0,28.0,0,0,8.05,0,0,0,8
79,1,2,0,0.83,0,2,29.0,0,3,1,8
80,1,3,1,30.0,0,0,12.475,0,2,0,8
81,0,3,0,22.0,0,0,9.0,0,0,0,8
82,1,3,0,29.0,0,0,9.5,0,0,0,8
83,1,3,1,28.0,0,0,7.7875,2,2,0,8
84,0,1,0,28.0,0,0,47.1,0,0,0,8
85,1,2,1,17.0,0,0,10.5,0,2,0,8
86,1,3,1,33.0,3,0,15.85,0,1,1,8
87,0,3,0,16.0,1,3,34.375,0,0,3,8
88,0,3,0,28.0,0,0,8.05,0,0,0,8
89,1,1,1,23.0,3,2,263.0,0,2,3,2
90,0,3,0,24.0,0,0,8.05,0,0,0,8
91,0,3,0,29.0,0,0,8.05,0,0,0,8
92,0,3,0,20.0,0,0,7.8542,0,0,0,8
93,0,1,0,46.0,1,0,61.175,0,0,0,4
94,0,3,0,26.0,1,2,20.575,0,0,1,8
95,0,3,0,59.0,0,0,7.25,0,0,0,8
96,0,3,0,28.0,0,0,8.05,0,0,0,8
97,0,1,0,71.0,0,0,34.6542,1,0,0,0
98,1,1,0,23.0,0,1,63.3583,1,0,0,3
99,1,2,1,34.0,0,1,23.0,0,1,1,8
100,0,2,0,34.0,1,0,26.0,0,0,1,8
101,0,3,1,28.0,0,0,7.8958,0,2,0,8
102,0,3,0,28.0,0,0,7.8958,0,0,1,8
103,0,1,0,21.0,0,1,77.2875,0,0,1,3
104,0,3,0,33.0,0,0,8.6542,0,0,2,8
105,0,3,0,37.0,2,0,7.925,0,0,3,8
106,0,3,0,28.0,0,0,7.8958,0,0,0,8
107,1,3,1,21.0,0,0,7.65,0,2,0,8
108,1,3,0,28.0,0,0,7.775,0,0,0,8
109,0,3,0,38.0,0,0,7.8958,0,0,0,8
110,1,3,1,28.0,1,0,24.15,2,2,2,8
111,0,1,0,47.0,0,0,52.0,0,0,0,2
112,0,3,1,14.5,1,0,14.4542,1,2,1,8
113,0,3,0,22.0,0,0,8.05,0,0,0,8
114,0,3,1,20.0,1,0,9.825,0,2,2,8
115,0,3,1,17.0,0,0,14.4583,1,2,1,8
116,0,3,0,21.0,0,0,7.925,0,0,0,8
117,0,3,0,70.5,0,0,7.75,2,0,0,8
118,0,2,0,29.0,1,0,21.0,0,0,1,8
119,0,1,0,24.0,0,1,247.5208,1,0,1,1
120,0,3,1,2.0,4,2,31.275,0,2,8,8
121,0,2,0,21.0,2,0,73.5,0,0,2,8
122,0,3,0,28.0,0,0,8.05,0,0,0,8
123,0,2,0,32.5,1,0,30.0708,1,0,1,8
124,1,2,1,32.5,0,0,13.0,0,2,1,4
125,0,1,0,54.0,0,1,77.2875,0,0,1,3
126,1,3,0,12.0,1,0,11.2417,1,3,1,8
127,0,3,0,28.0,0,0,7.75,2,0,0,8
128,1,3,0,24.0,0,0,7.1417,0,0,0,8
129,1,3,1,28.0,1,1,22.3583,1,2,1,5
130,0,3,0,45.0,0,0,6.975,0,0,0,8
131,0,3,0,33.0,0,0,7.8958,1,0,0,8
132,0,3,0,20.0,0,0,7.05,0,0,0,8
133,0,3,1,47.0,1,0,14.5,0,1,0,8
134,1,2,1,29.0,1,0,26.0,0,1,0,8
135,0,2,0,25.0,0,0,13.0,0,0,0,8
136,0,2,0,23.0,0,0,15.0458,1,0,0,8
137,1,1,1,19.0,0,2,26.2833,0,2,0,3
138,0,1,0,37.0,1,0,53.1,0,0,1,2
139,0,3,0,16.0,0,0,9.2167,0,0,0,8
140,0,1,0,24.0,0,0,79.2,1,0,0,1
141,0,3,1,28.0,0,2,15.2458,1,1,2,8
142,1,3,1,22.0,0,0,7.75,0,2,0,8
143,1,3,1,24.0,1,0,15.85,0,1,1,8
144,0,3,0,19.0,0,0,6.75,2,0,0,8
145,0,2,0,18.0,0,0,11.5,0,0,0,8
146,0,2,0,19.0,1,1,36.75,0,0,0,8
147,1,3,0,27.0,0,0,7.7958,0,0,8,8
148,0,3,1,9.0,2,2,34.375,0,2,3,8
149,0,2,0,36.5,0,2,26.0,0,0,2,5
150,0,2,0,42.0,0,0,13.0,0,4,0,8
151,0,2,0,51.0,0,0,12.525,0,4,0,8
152,1,1,1,22.0,1,0,66.6,0,1,1,2
153,0,3,0,55.5,0,0,8.05,0,0,0,8
154,0,3,0,40.5,0,2,14.5,0,0,0,8
155,0,3,0,28.0,0,0,7.3125,0,0,2,8
156,0,1,0,51.0,0,1,61.3792,1,0,3,8
157,1,3,1,16.0,0,0,7.7333,2,2,0,8
158,0,3,0,30.0,0,0,8.05,0,0,0,8
159,0,3,0,28.0,0,0,8.6625,0,0,0,8
160,0,3,0,28.0,8,2,69.55,0,3,6,8
161,0,3,0,44.0,0,1,16.1,0,0,0,8
162,1,2,1,40.0,0,0,15.75,0,1,0,8
163,0,3,0,26.0,0,0,7.775,0,0,0,8
164,0,3,0,17.0,0,0,8.6625,0,0,1,8
165,0,3,0,1.0,4,1,39.6875,0,3,5,8
166,1,3,0,9.0,0,2,20.525,0,3,2,8
167,1,1,1,28.0,0,1,55.0,0,1,0,4
168,0,3,1,45.0,1,4,27.9,0,1,5,8
169,0,1,0,28.0,0,0,25.925,0,0,0,8
170,0,3,0,28.0,0,0,56.4958,0,0,0,8
171,0,1,0,61.0,0,0,33.5,0,0,0,1
172,0,3,0,4.0,4,1,29.125,2,3,4,8
173,1,3,1,1.0,1,1,11.1333,0,2,5,8
174,0,3,0,21.0,0,0,7.925,0,0,0,8
175,0,1,0,56.0,0,0,30.6958,1,0,3,0
176,0,3,0,18.0,1,1,7.8542,0,0,0,8
177,0,3,0,28.0,3,1,25.4667,0,3,3,8
178,0,1,1,50.0,0,0,28.7125,1,2,0,2
179,0,2,0,30.0,0,0,13.0,0,0,0,8
180,0,3,0,36.0,0,0,0.0,0,0,0,8
181,0,3,1,28.0,8,2,69.55,0,2,6,8
182,0,2,0,28.0,0,0,15.05,1,0,0,8
183,0,3,0,9.0,4,2,31.3875,0,3,3,8
184,1,2,0,1.0,2,1,39.0,0,3,1,5
185,1,3,1,4.0,0,2,22.025,0,2,0,8
186,0,1,0,28.0,0,0,50.0,0,0,0,0
187,1,3,1,28.0,1,0,15.5,2,1,2,8
188,1,1,0,45.0,0,0,26.55,0,0,0,8
189,0,3,0,40.0,1,1,15.5,2,0,2,8
190,0,3,0,36.0,0,0,7.8958,0,0,0,8
191,1,2,1,32.0,0,0,13.0,0,1,0,8
192,0,2,0,19.0,0,0,13.0,0,0,0,8
193,1,3,1,19.0,1,0,7.8542,0,2,0,8
194,1,2,0,3.0,1,1,26.0,0,3,2,5
195,1,1,1,44.0,0,0,27.7208,1,1,3,1
196,1,1,1,58.0,0,0,146.5208,1,2,0,1
197,0,3,0,28.0,0,0,7.75,2,0,0,8
198,0,3,0,42.0,0,1,8.4042,0,0,2,8
199,1,3,1,28.0,0,0,7.75,2,2,0,8
200,0,2,1,24.0,0,0,13.0,0,2,0,8
201,0,3,0,28.0,0,0,9.5,0,0,0,8
202,0,3,0,28.0,8,2,69.55,0,0,6,8
203,0,3,0,34.0,0,0,6.4958,0,0,0,8
204,0,3,0,45.5,0,0,7.225,1,0,0,8
205,1,3,0,18.0,0,0,8.05,0,0,0,8
206,0,3,1,2.0,0,1,10.4625,0,2,1,6
207,0,3,0,32.0,1,0,15.85,0,0,1,8
208,1,3,0,26.0,0,0,18.7875,1,0,0,8
209,1,3,1,16.0,0,0,7.75,2,2,0,8
210,1,1,0,40.0,0,0,31.0,1,0,0,0
211,0,3,0,24.0,0,0,7.05,0,0,1,8
212,1,2,1,35.0,0,0,21.0,0,2,0,8
213,0,3,0,22.0,0,0,7.25,0,0,0,8
214,0,2,0,30.0,0,0,13.0,0,0,0,8
215,0,3,0,28.0,1,0,7.75,2,0,0,8
216,1,1,1,31.0,1,0,113.275,1,2,2,3
217,1,3,1,27.0,0,0,7.925,0,2,0,8
218,0,2,0,42.0,1,0,27.0,0,0,1,8
219,1,1,1,32.0,0,0,76.2917,1,2,0,3
220,0,2,0,30.0,0,0,10.5,0,0,3,8
221,1,3,0,16.0,0,0,8.05,0,0,0,8
222,0,2,0,27.0,0,0,13.0,0,0,0,8
223,0,3,0,51.0,0,0,8.05,0,0,0,8
224,0,3,0,28.0,0,0,7.8958,0,0,0,8
225,1,1,0,38.0,1,0,90.0,0,0,2,2
226,0,3,0,22.0,0,0,9.35,0,0,0,8
227,1,2,0,19.0,0,0,10.5,0,0,0,8
228,0,3,0,20.5,0,0,7.25,0,0,0,8
229,0,2,0,18.0,0,0,13.0,0,0,0,8
230,0,3,1,28.0,3,1,25.4667,0,2,3,8
231,1,1,1,35.0,1,0,83.475,0,1,3,2
232,0,3,0,29.0,0,0,7.775,0,0,1,8
233,0,2,0,59.0,0,0,13.5,0,0,0,8
234,1,3,1,5.0,4,2,31.3875,0,2,3,8
235,0,2,0,24.0,0,0,10.5,0,0,0,8
236,0,3,1,28.0,0,0,7.55,0,2,0,8
237,0,2,0,44.0,1,0,26.0,0,0,0,8
238,1,2,1,8.0,0,2,26.25,0,2,2,8
239,0,2,0,19.0,0,0,10.5,0,0,0,8
240,0,2,0,33.0,0,0,12.275,0,0,0,8
241,0,3,1,28.0,1,0,14.4542,1,2,1,8
242,1,3,1,28.0,1,0,15.5,2,2,1,8
243,0,2,0,29.0,0,0,10.5,0,0,0,8
244,0,3,0,22.0,0,0,7.125,0,0,0,8
245,0,3,0,30.0,0,0,7.225,1,0,1,8
246,0,1,0,44.0,2,0,90.0,2,4,1,2
247,0,3,1,25.0,0,0,7.775,0,2,0,8
248,1,2,1,24.0,0,2,14.5,0,1,1,8
249,1,1,0,37.0,1,1,52.5542,0,0,1,3
250,0,2,0,54.0,1,0,26.0,0,4,5,8
251,0,3,0,28.0,0,0,7.25,0,0,0,8
252,0,3,1,29.0,1,1,10.4625,0,1,1,6
253,0,1,0,62.0,0,0,26.55,0,0,0,2
254,0,3,0,30.0,1,0,16.1,0,0,1,8
255,0,3,1,41.0,0,2,20.2125,0,1,1,8
256,1,3,1,29.0,0,2,15.2458,1,1,0,8
257,1,1,1,28.0,0,0,79.2,1,1,0,8
258,1,1,1,30.0,0,0,86.5,0,2,0,1
259,1,1,1,35.0,0,0,512.3292,1,2,0,8
260,1,2,1,50.0,0,1,26.0,0,1,0,8
261,0,3,0,28.0,0,0,7.75,2,0,3,8
262,1,3,0,3.0,4,2,31.3875,0,3,3,8
263,0,1,0,52.0,1,1,79.65,0,0,2,4
264,0,1,0,40.0,0,0,0.0,0,0,0,1
265,0,3,1,28.0,0,0,7.75,2,2,0,8
266,0,2,0,36.0,0,0,10.5,0,0,0,8
267,0,3,0,16.0,4,1,39.6875,0,0,5,8
268,1,3,0,25.0,1,0,7.775,0,0,0,8
269,1,1,1,58.0,0,1,153.4625,0,1,2,2
270,1,1,1,35.0,0,0,135.6333,0,2,0,2
271,0,1,0,28.0,0,0,31.0,0,0,0,8
272,1,3,0,25.0,0,0,0.0,0,0,0,8
273,1,2,1,41.0,0,1,19.5,0,1,1,8
274,0,1,0,37.0,0,1,29.7,1,0,0,2
275,1,3,1,28.0,0,0,7.75,2,2,0,8
276,1,1,1,63.0,1,0,77.9583,0,2,1,3
277,0,3,1,45.0,0,0,7.75,0,2,0,8
278,0,2,0,28.0,0,0,0.0,0,0,0,8
279,0,3,0,7.0,4,1,29.125,2,3,4,8
280,1,3,1,35.0,1,1,20.25,0,1,1,8
281,0,3,0,65.0,0,0,7.75,2,0,0,8
282,0,3,0,28.0,0,0,7.8542,0,0,1,8
283,0,3,0,16.0,0,0,9.5,0,0,0,8
284,1,3,0,19.0,0,0,8.05,0,0,0,8
285,0,1,0,28.0,0,0,26.0,0,0,3,0
286,0,3,0,33.0,0,0,8.6625,1,0,0,8
287,1,3,0,30.0,0,0,9.5,0,0,0,8
288,0,3,0,22.0,0,0,7.8958,0,0,0,8
289,1,2,0,42.0,0,0,13.0,0,0,0,8
290,1,3,1,22.0,0,0,7.75,2,2,0,8
291,1,1,1,26.0,0,0,78.85,0,2,0,8
292,1,1,1,19.0,1,0,91.0792,1,1,1,1
293,0,2,0,36.0,0,0,12.875,1,0,0,3
294,0,3,1,24.0,0,0,8.85,0,2,0,8
295,0,3,0,24.0,0,0,7.8958,0,0,0,8
296,0,1,0,28.0,0,0,27.7208,1,0,0,8
297,0,3,0,23.5,0,0,7.2292,1,0,0,8
298,0,1,1,2.0,1,2,151.55,0,2,2,2
299,1,1,0,28.0,0,0,30.5,0,0,0,2
300,1,1,1,50.0,0,1,247.5208,1,1,1,1
301,1,3,1,28.0,0,0,7.75,2,2,3,8
302,1,3,0,28.0,2,0,23.25,2,0,1,8
303,0,3,0,19.0,0,0,0.0,0,0,5,8
304,1,2,1,28.0,0,0,12.35,2,2,1,4
305,0,3,0,28.0,0,0,8.05,0,0,3,8
306,1,1,0,0.92,1,2,151.55,0,3,2,2
307,1,1,1,28.0,0,0,110.8833,1,2,0,8
308,1,1,1,17.0,1,0,108.9,1,1,1,2
309,0,2,0,30.0,1,0,24.0,1,0,1,8
310,1,1,1,30.0,0,0,56.9292,1,2,0,4
311,1,1,1,24.0,0,0,83.1583,1,2,1,2
312,1,1,1,18.0,2,2,262.375,1,2,1,1
313,0,2,1,26.0,1,1,26.0,0,1,0,8
314,0,3,0,28.0,0,0,7.8958,0,0,0,8
315,0,2,0,43.0,1,1,26.25,0,0,3,8
316,1,3,1,26.0,0,0,7.8542,0,2,0,8
317,1,2,1,24.0,1,0,26.0,0,1,1,8
318,0,2,0,54.0,0,0,14.0,0,4,0,8
319,1,1,1,31.0,0,2,164.8667,0,2,1,2
320,1,1,1,40.0,1,1,134.5,1,1,0,4
321,0,3,0,22.0,0,0,7.25,0,0,0,8
322,0,3,0,27.0,0,0,7.8958,0,0,0,8
323,1,2,1,30.0,0,0,12.35,2,2,0,8
324,1,2,1,22.0,1,1,29.0,0,1,1,8
325,0,3,0,28.0,8,2,69.55,0,0,6,8
326,1,1,1,36.0,0,0,135.6333,1,2,0,2
327,0,3,0,61.0,0,0,6.2375,0,0,0,8
328,1,2,1,36.0,0,0,13.0,0,1,0,3
329,1,3,1,31.0,1,1,20.525,0,1,2,8
330,1,1,1,16.0,0,1,57.9792,1,2,1,1
331,1,3,1,28.0,2,0,23.25,2,2,1,8
332,0,1,0,45.5,0,0,28.5,0,0,0,2
333,0,1,0,38.0,0,1,153.4625,0,0,2,2
334,0,3,0,16.0,2,0,18.0,0,0,2,8
335,1,1,1,28.0,1,0,133.65,0,1,1,8
336,0,3,0,28.0,0,0,7.8958,0,0,0,8
337,0,1,0,29.0,1,0,66.6,0,0,1,2
338,1,1,1,41.0,0,0,134.5,1,2,0,4
339,1,3,0,45.0,0,0,8.05,0,0,0,8
340,0,1,0,45.0,0,0,35.5,0,0,0,7
341,1,2,0,2.0,1,1,26.0,0,3,2,5
342,1,1,1,24.0,3,2,263.0,0,2,3,2
343,0,2,0,28.0,0,0,13.0,0,0,0,8
344,0,2,0,25.0,0,0,13.0,0,0,0,8
345,0,2,0,36.0,0,0,13.0,0,0,0,8
346,1,2,1,24.0,0,0,13.0,0,2,3,5
347,1,2,1,40.0,0,0,13.0,0,2,3,8
348,1,3,1,28.0,1,0,16.1,0,1,0,8
349,1,3,0,3.0,1,1,15.9,0,3,1,8
350,0,3,0,42.0,0,0,8.6625,0,0,0,8
351,0,3,0,23.0,0,0,9.225,0,0,0,8
352,0,1,0,28.0,0,0,35.0,0,0,0,2
353,0,3,0,15.0,1,1,7.2292,1,0,2,8
354,0,3,0,25.0,1,0,17.8,0,0,1,8
355,0,3,0,28.0,0,0,7.225,1,0,0,8
356,0,3,0,28.0,0,0,9.5,0,0,0,8
357,1,1,1,22.0,0,1,55.0,0,2,0,4
358,0,2,1,38.0,0,0,13.0,0,2,0,8
359,1,3,1,28.0,0,0,7.8792,2,2,0,8
360,1,3,1,28.0,0,0,7.8792,2,2,0,8
361,0,3,0,40.0,1,4,27.9,0,0,5,8
362,0,2,0,29.0,1,0,27.7208,1,0,0,8
363,0,3,1,45.0,0,1,14.4542,1,1,1,8
364,0,3,0,35.0,0,0,7.05,0,0,0,8
365,0,3,0,28.0,1,0,15.5,2,0,2,8
366,0,3,0,30.0,0,0,7.25,0,0,0,8
367,1,1,1,60.0,1,0,75.25,1,1,0,3
368,1,3,1,28.0,0,0,7.2292,1,1,0,8
369,1,3,1,28.0,0,0,7.75,2,2,0,8
370,1,1,1,24.0,0,0,69.3,1,4,0,1
371,1,1,0,25.0,1,0,55.4417,1,0,0,4
372,0,3,0,18.0,1,0,6.4958,0,0,0,8
373,0,3,0,19.0,0,0,8.05,0,0,0,8
374,0,1,0,22.0,0,0,135.6333,1,0,0,8
375,0,3,1,3.0,3,1,21.075,0,2,3,8
376,1,1,1,28.0,1,0,82.1708,1,1,2,8
377,1,3,1,22.0,0,0,7.25,0,2,0,8
378,0,1,0,27.0,0,2,211.5,1,0,0,2
379,0,3,0,20.0,0,0,4.0125,1,0,0,8
380,0,3,0,19.0,0,0,7.775,0,0,3,8
381,1,1,1,42.0,0,0,227.525,1,2,0,8
382,1,3,1,1.0,0,2,15.7417,1,2,1,8
383,0,3,0,32.0,0,0,7.925,0,0,0,8
384,1,1,1,35.0,1,0,52.0,0,1,1,8
385,0,3,0,28.0,0,0,7.8958,0,0,0,8
386,0,2,0,18.0,0,0,73.5,0,0,2,8
387,0,3,0,1.0,5,2,46.9,0,3,5,8
388,1,2,1,36.0,0,0,13.0,0,2,0,8
389,0,3,0,28.0,0,0,7.7292,2,0,0,8
390,1,2,1,17.0,0,0,12.0,1,2,0,8
391,1,1,0,36.0,1,2,120.0,0,0,5,1
392,1,3,0,21.0,0,0,7.7958,0,0,0,8
393,0,3,0,28.0,2,0,7.925,0,0,3,8
394,1,1,1,23.0,1,0,113.275,1,2,2,3
395,1,3,1,24.0,0,2,16.7,0,1,1,6
396,0,3,0,22.0,0,0,7.7958,0,0,2,8
397,0,3,1,31.0,0,0,7.8542,0,2,1,8
398,0,2,0,46.0,0,0,26.0,0,0,0,8
399,0,2,0,23.0,0,0,10.5,0,4,0,8
400,1,2,1,28.0,0,0,12.65,0,1,0,8
401,1,3,0,39.0,0,0,7.925,0,0,0,8
402,0,3,0,26.0,0,0,8.05,0,0,0,8
403,0,3,1,21.0,1,0,9.825,0,2,2,8
404,0,3,0,28.0,1,0,15.85,0,0,1,8
405,0,3,1,20.0,0,0,8.6625,0,2,1,8
406,0,2,0,34.0,1,0,21.0,0,0,0,8
407,0,3,0,51.0,0,0,7.75,0,0,0,8
408,1,2,0,3.0,1,1,18.75,0,3,2,8
409,0,3,0,21.0,0,0,7.775,0,0,0,8
410,0,3,1,28.0,3,1,25.4667,0,2,3,8
411,0,3,0,28.0,0,0,7.8958,0,0,0,8
412,0,3,0,28.0,0,0,6.8583,2,0,3,8
413,1,1,1,33.0,1,0,90.0,2,2,1,2
414,0,2,0,28.0,0,0,0.0,0,0,0,8
415,1,3,0,44.0,0,0,7.925,0,0,0,8
416,0,3,1,28.0,0,0,8.05,0,1,0,8
417,1,2,1,34.0,1,1,32.5,0,1,0,8
418,1,2,1,18.0,0,2,13.0,0,2,0,8
419,0,2,0,30.0,0,0,13.0,0,0,0,8
420,0,3,1,10.0,0,2,24.15,0,2,2,8
421,0,3,0,28.0,0,0,7.8958,1,0,0,8
422,0,3,0,21.0,0,0,7.7333,2,0,0,8
423,0,3,0,29.0,0,0,7.875,0,0,0,8
424,0,3,1,28.0,1,1,14.4,0,1,1,8
425,0,3,0,18.0,1,1,20.2125,0,0,1,8
426,0,3,0,28.0,0,0,7.25,0,0,0,8
427,1,2,1,28.0,1,0,26.0,0,1,0,8
428,1,2,1,19.0,0,0,26.0,0,2,0,8
429,0,3,0,28.0,0,0,7.75,2,0,2,8
430,1,3,0,32.0,0,0,8.05,0,0,0,4
431,1,1,0,28.0,0,0,26.55,0,0,0,2
432,1,3,1,28.0,1,0,16.1,0,1,1,8
433,1,2,1,42.0,1,0,26.0,0,1,0,8
434,0,3,0,17.0,0,0,7.125,0,0,0,8
435,0,1,0,50.0,1,0,55.9,0,0,1,4
436,1,1,1,14.0,1,2,120.0,0,2,5,1
437,0,3,1,21.0,2,2,34.375,0,2,3,8
438,1,2,1,24.0,2,3,18.75,0,1,2,8
439,0,1,0,64.0,1,4,263.0,0,0,3,2
440,0,2,0,31.0,0,0,10.5,0,0,0,8
441,1,2,1,45.0,1,1,26.25,0,1,3,8
442,0,3,0,20.0,0,0,9.5,0,0,0,8
443,0,3,0,25.0,1,0,7.775,0,0,0,8
444,1,2,1,28.0,0,0,13.0,0,4,0,8
445,1,3,0,28.0,0,0,8.1125,0,0,0,8
446,1,1,0,4.0,0,2,81.8583,0,3,0,0
